Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
23.04.2024,Boyer T.,2,7,6,,,,10,2,61%,74% (29/39),52% (13/25),50% (1/2),45% (14/31),52% (12/23),57% (4/7),66% (42/64),48% (26/54),58% (68/118),7,0,90% (9/10),44% (4/9),68% (13/19),"['5', '5', '7', '5']","['3', '1', '5', '1']",[],[],[],1.45
CHALLENGER MEN - SINGLES :  Acapulco (Mexico),hard,header
18.04.2024,Oliveira G.,0,4,5,,,,3,5,65%,63% (31/49),31% (8/26),50% (5/10),30% (11/37),40% (8/20),43% (3/7),52% (39/75),33% (19/57),44% (58/132),4,3,55% (6/11),27% (3/11),41% (9/22),[],"['1', '0', '2', '1', '3', '2']",[],[],[],4.64
18.04.2024,Svajda Z.,2,6,7,,,,3,2,65%,70% (26/37),60% (12/20),57% (4/7),37% (18/49),69% (18/26),50% (5/10),67% (38/57),48% (36/75),56% (74/132),6,0,73% (8/11),45% (5/11),59% (13/22),"['6', '4']","['1', '1', '2', '2', '5', '5', '7', '5']",[],[],[],1.18
17.04.2024,Oliveira G.,2,6,6,,,,4,2,69%,75% (30/40),67% (12/18),100% (4/4),36% (12/33),50% (11/22),75% (3/4),72% (42/58),42% (23/55),58% (65/113),6,0,100% (9/9),33% (3/9),67% (12/18),"['3', '1']","['4', '3', '6', '3']",[],[],[],2.09
17.04.2024,Sell K.,0,3,3,,,,0,2,60%,64% (21/33),50% (11/22),25% (1/4),25% (10/40),33% (6/18),0% (0/4),58% (32/55),28% (16/58),42% (48/113),4,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.70
CHALLENGER MEN - SINGLES :  Morelos (Mexico),hard,header
09.04.2024,Oliveira G.,0,4,5,,,,4,7,61%,79% (33/42),37% (10/27),57% (4/7),22% (10/45),44% (11/25),33% (1/3),62% (43/69),30% (21/70),46% (64/139),2,1,73% (8/11),9% (1/11),41% (9/22),[],"['1', '0']",[],[],[],2.14
09.04.2024,Ficovich J. P.,2,6,7,,,,10,2,64%,78% (35/45),56% (14/25),67% (2/3),21% (9/42),63% (17/27),43% (3/7),70% (49/70),38% (26/69),54% (75/139),8,0,91% (10/11),27% (3/11),59% (13/22),"['6', '4']","['1', '1', '7', '5']",[],[],[],1.67
CHALLENGER MEN - SINGLES :  Mexico City (Mexico),clay,header
